CUSIPs,yields,CPR,prices,,,,,,,,,,
3140FCWT1,5.183,6.127327767,91.5325425,,,,,,,,,,
31417UX67,5.161,6.883802618,96.48830216,,,,,,,,,,
3138A2BP3,4.886,6.883802618,96.47750614,,,,,,,,,,
3138E6AJ5,5.065,6.883802618,96.07215699,,,,,,,,,,
3140GTMZ0,5.071,6.127327767,91.34259714,,,,,,,,,,
3140H6CS6,5.114,6.883802618,94.21016361,,,,,,,,,,
3138E72C7,5.077,6.883802618,95.79862332,,,,,,,,,,
3140H4S62,5.135,4.606141635,85.22698568,,,,,,,,,,
3140H8JS5,5.157,5.523592718,89.74561976,,,,,,,,,,
3138YVXM6,5.105,6.883802618,94.73039658,,,,,,,,,,
3138AMA47,5.157,6.883802618,96.07215699,,,,,,,,,,
3138MCXQ2,5.569,6.127327767,93.13436378,,,,,,,,,,
3140FAMC3,5.183,6.883802618,94.45799552,,,,,,,,,,
3140GWQT3,5.251,6.127327767,91.34259714,,,,,,,,,,
31416RSS3,5.115,6.883802618,96.50534165,,,,,,,,,,
3138YY3S0,5.135,6.127327767,91.88967268,,,,,,,,,,
3140HBP85,5.056,4.606141635,83.66349719,,,,,,,,,,
3140E8QR2,5.009,6.127327767,91.89959416,,,,,,,,,,
3138XZV81,5.102,6.883802618,95.44549193,,,,,,,,,,
3140FL2E7,5.13,11.52312825,82.05005323,,,,,,,,,,
3138WZCH3,5.089,6.127327767,92.98574855,,,,,,,,,,
3140KGHR7,5.378,6.403389744,90.69172643,,,,,,,,,,
3138WUTY9,5.324,6.127327767,92.98574855,,,,,,,,,,
3138X7NG4,5.112,5.39829934,90.30653365,,,,,,,,,,
3140H2DA3,5.108,5.39829934,88.48123813,,,,,,,,,,
3140EVH26,5.105,5.39829934,88.451898,,,,,,,,,,
3140JP2P9,5.406,6.883802618,93.84172916,,,,,,,,,,
3138WTJY3,5.226,6.883802618,95.80152487,,,,,,,,,,
3138M4WE8,5.05,6.127327767,93.13882384,,,,,,,,,,
3138WMBU4,5.085,6.127327767,92.98349467,,,,,,,,,,
3138X9AG4,5.042,5.030087778,88.61689276,,,,,,,,,,
3138M6EW3,5.17,5.39829934,90.65755891,,,,,,,,,,
3138MJ2Z1,5.127,5.39829934,90.65755891,,,,,,,,,,
3138MR6B2,5.058,6.127327767,93.13882384,,,,,,,,,,
3138X53N5,5.073,6.883802618,95.78929656,,,,,,,,,,
3138X2J47,5.282,5.39829934,90.30653365,,,,,,,,,,
3138LRL75,5.165,5.39829934,90.66774628,,,,,,,,,,
3140FHHT7,5.578,6.883802618,94.45131162,,,,,,,,,,
31417AM63,5.165,6.127327767,93.50116329,,,,,,,,,,
3140L65H3,5.151,5.830688467,86.89021044,,,,,,,,,,
3138XRDU0,5.076,6.883802618,95.46076326,,,,,,,,,,
3138Y5H66,5.132,6.127327767,91.89959416,,,,,,,,,,
3138ECLB7,5.226,6.883802618,95.79824426,,,,,,,,,,
3138WMFU0,5.081,6.127327767,92.98349467,,,,,,,,,,
3138MNHD5,5.047,5.39829934,90.65755891,,,,,,,,,,
3138A25G0,5.044,6.127327767,93.52392397,,,,,,,,,,
3138MRL58,5.115,5.39829934,90.65558609,,,,,,,,,,
3138WPKE3,5.18,5.39829934,90.30653365,,,,,,,,,,
3140JMZ62,5.237,6.127327767,90.58155986,,,,,,,,,,
3140HHJD8,5.175,6.127327767,90.96588541,,,,,,,,,,
3140EB6X4,5.073,6.127327767,91.89959416,,,,,,,,,,
31417GBU9,5.243,6.127327767,92.98349467,,,,,,,,,,
3138MAVE5,5.181,5.39829934,90.65755891,,,,,,,,,,
3138A8UY0,5.157,6.883802618,96.07119793,,,,,,,,,,
3138LVQQ9,5.178,5.39829934,90.65558609,,,,,,,,,,
3138M4XL1,5.153,6.127327767,92.98574855,,,,,,,,,,
3138XMWQ9,5.174,6.883802618,95.78929656,,,,,,,,,,
3138W9W48,5.127,6.883802618,95.79814468,,,,,,,,,,
3140GXHD6,5.093,6.127327767,91.34565089,,,,,,,,,,
3138W46F3,5.175,4.606141635,88.22805224,,,,,,,,,,
3138Y0AX5,5.12,6.883802618,95.4489294,,,,,,,,,,
3138AGER5,5.017,5.39829934,90.6760738,,,,,,,,,,
3138Y1P33,5.213,6.883802618,95.4489294,,,,,,,,,,
3138XDBU3,5.074,6.127327767,92.98574855,,,,,,,,,,
3138XQUH2,5.195,6.127327767,92.56729351,,,,,,,,,,
3138WWHV4,5.485,6.127327767,92.98266948,,,,,,,,,,
3138XZJV4,5.201,6.883802618,95.44908465,,,,,,,,,,
